179.63086 165.56783 169.08566,178.56602 166.23167 169.62434,177.56549 166.56723 170.3388
0.0 0.0 0.0,263.97903 349.6149 257.77985,263.6997 348.19025 256.23898
308.69162 149.38464 241.1372,307.60846 149.58589 240.85681,306.60162 149.96956 240.60065
401.07962 173.36597 165.8346,399.30386 173.87871 165.61385,397.38644 174.38846 165.11064
308.0598 374.60434 280.8066,307.72507 375.47485 282.06287,307.14713 375.8967 283.17926
227.15775 194.75136 235.81758,227.49057 194.58621 235.35834,227.05351 194.53012 235.51788
313.3318 163.96375 266.60962,312.19293 164.60829 265.59576,311.37222 165.31128 264.37814
268.59506 137.63278 272.76648,267.96472 136.76944 273.57468,267.5565 135.91034 274.03714
0.0 0.0 0.0,205.8409 335.8983 153.37648,202.75696 336.50073 152.52324
363.77637 122.54966 300.6307,363.28674 121.08463 301.49908,363.3966 119.99433 302.82288
0.0 0.0 0.0,414.93335 167.64807 166.71822,413.78427 168.40845 166.81194
247.76808 183.00099 239.95747,246.68239 182.4649 240.69922,245.54623 182.07924 241.43016
0.0 0.0 0.0,308.67896 177.70645 242.85204,307.38632 177.39604 244.3843
175.95192 166.74707 171.80486,174.94038 166.99557 172.434,173.90091 167.00423 173.2107
328.72482 184.48915 290.36652,329.38763 184.76689 291.90082,329.39584 184.73958 291.55795
262.9284 183.80495 271.67697,261.34808 182.70027 273.29364,259.624 181.88043 274.87466
317.35242 214.29271 344.67514,317.7507 213.61586 342.73944,317.01688 212.75327 341.4291
203.54063 175.27979 213.0944,201.80649 175.1613 214.01247,199.53894 175.25293 214.51164
268.5879 123.158 224.23734,268.23035 125.26445 224.6325,267.39023 127.14249 224.41037
0.0 0.0 0.0,313.5331 174.07924 254.37447,312.20496 173.55917 254.20638
282.05777 360.10953 216.70866,281.9509 360.53503 216.59796,281.61252 361.35275 215.90642
0.0 0.0 0.0,239.86845 331.51538 155.93257,239.53653 335.0468 152.19817
0.0 0.0 0.0,265.04083 309.78464 98.32722,264.34753 309.44666 99.22919
325.01126 146.50774 250.06915,323.02573 147.26843 249.00726,321.1683 147.88153 247.65898
221.89696 144.25954 208.874,221.18915 143.33545 209.33583,220.12398 142.53741 209.77286
294.73645 170.49487 245.74503,294.1351 172.14958 246.01366,293.7568 174.08382 246.9572
0.0 0.0 0.0,234.39322 151.54097 278.28168,231.47374 149.40555 282.11255
238.77316 342.126 149.58568,239.02411 339.64615 151.32436,239.26976 338.12036 151.77148
312.89487 179.0595 214.64902,312.3154 180.20601 214.45453,311.69577 181.30267 214.60674
363.3966 119.99433 302.82288,363.3949 118.82299 303.96204,363.2253 117.49801 304.81256
282.1617 114.9364 290.23248,282.0528 115.41486 289.16266,281.84726 115.93422 288.25497
0.0 0.0 0.0,298.96964 343.40442 295.19498,298.29163 341.90176 293.68582
0.0 0.0 0.0,304.058 146.49722 181.19919,303.85098 147.52812 181.43736
239.86845 331.51538 155.93257,239.53653 335.0468 152.19817,239.53812 335.56122 151.93845
367.07858 167.42056 162.68954,366.61108 168.62039 162.77855,366.29764 170.01639 162.9067
296.9037 126.512634 217.95395,296.45944 127.34525 218.37204,296.3361 128.29419 218.99663
189.48206 159.21745 204.92195,188.25381 158.69267 205.37263,187.06639 158.32329 205.9233
292.01535 170.2039 203.28893,292.3802 172.04913 204.34781,292.02005 173.84262 205.09834
307.28 339.52173 276.94333,306.24512 338.7505 275.86807,305.4578 337.96613 274.6301
320.79288 185.45274 278.45697,319.98047 185.2615 277.00302,318.90466 184.62321 275.57184
229.96771 378.15207 265.00607,230.24815 379.57104 266.07315,230.08238 381.20456 266.70895
262.88116 159.08426 89.76942,262.71808 159.00151 89.87356,262.4404 159.02818 90.001495
306.73114 182.00894 239.1335,305.5076 181.44688 239.87535,305.54465 181.63469 239.97195
251.1927 178.96645 283.4415,250.31157 178.80592 284.6993,249.37895 178.76285 285.86237
329.39584 184.73958 291.55795,328.58966 184.9832 290.20297,327.24072 185.00995 288.16608
252.15323 178.73209 282.35477,251.06633 178.82068 283.8462,249.88896 178.82275 284.94647
254.84897 182.6244 90.69885,254.38216 183.30302 89.58479,253.86401 184.0139 88.34862
311.52115 147.5793 247.45175,310.34906 148.48041 247.22256,309.29813 149.44264 246.89342
319.02756 325.1384 294.8729,318.2113 324.79437 293.96786,317.39362 324.55118 292.48026
290.24106 128.73372 264.57837,291.00824 130.44409 264.26102,291.3356 132.13655 264.5359
237.68506 120.09087 289.3234,237.45627 118.744736 289.7552,237.51506 117.71594 290.61594
299.01373 138.4144 289.58206,298.7288 139.02565 288.4569,298.27408 139.25145 287.2284
285.1468 374.68463 287.20697,284.35648 373.83746 286.23557,283.41397 373.0773 285.25372
282.5021 161.57721 104.75532,280.89084 163.25606 105.536766,279.33997 164.25958 106.360085
296.3361 128.29419 218.99663,295.9816 129.27937 219.73221,295.782 130.43283 220.40422
172.8569 167.25217 174.23271,171.57823 167.65085 175.10045,170.2984 167.7828 176.19516
250.81633 197.47652 253.08125,250.54092 197.37103 252.16124,250.19438 197.21315 251.2606
198.21089 175.16086 215.29297,197.21088 174.72736 215.86372,196.27905 174.46042 216.3644
263.1715 200.58632 175.55933,262.09546 199.03099 175.4193,261.1611 197.3967 175.30609
333.60526 131.10567 292.11237,333.04593 129.71707 292.5709,332.6838 128.25777 293.01126
331.70294 168.60616 318.26907,331.6197 168.63316 317.76166,331.27585 168.37482 316.95953
255.33817 180.04233 97.82513,255.4436 178.51814 100.41903,255.22658 177.59186 102.60019
219.06175 376.13202 261.62198,218.18222 377.61523 261.9257,217.41852 378.6408 262.66248
404.26736 172.05862 165.952,402.69785 172.65143 165.86423,401.07962 173.36597 165.8346
317.7507 213.61586 342.73944,317.01688 212.75327 341.4291,316.67737 211.98178 339.9992
314.16367 186.7125 318.07413,313.4825 186.79509 316.82083,312.74063 186.68613 315.72168
207.0493 160.47197 130.22351,206.73279 160.47253 129.9454,206.32484 160.351 129.4068
0.0 0.0 0.0,307.8885 179.32149 163.61206,307.39746 179.35298 163.94289
295.25427 200.1062 258.11664,293.94455 199.72466 257.1319,292.56845 199.75084 256.08768
240.50406 140.75496 273.341,239.91504 139.35355 274.7904,239.61647 138.16745 276.0781
291.78583 177.76494 249.31992,289.67526 176.79018 250.07587,287.52618 176.36406 250.96562
293.08102 163.8009 288.50116,292.336 164.48352 286.59915,292.20172 164.91464 284.50122
297.6191 322.93622 181.48424,297.18744 322.53058 182.35628,296.4092 322.19202 183.37169
316.095 201.44681 203.37993,314.65726 201.18982 204.84705,313.00043 201.30304 206.59987
347.2131 163.32341 269.38394,346.31836 161.97975 270.56088,345.56964 160.36508 271.56165
254.82681 142.41609 258.00888,253.77795 142.72725 257.0727,253.10265 142.37915 255.50558
0.0 0.0 0.0,273.84424 167.52252 109.84778,272.81976 167.7893 111.545296
258.3459 191.59244 169.53014,257.6931 190.5272 168.53047,257.18674 189.50368 167.39082
303.85098 147.52812 181.43736,303.2697 148.44263 181.77234,302.97833 149.8146 182.21423
182.53407 163.29587 205.58342,181.71419 162.71713 206.57861,180.64081 162.38898 206.80305
0.0 0.0 0.0,306.73114 182.00894 239.1335,305.5076 181.44688 239.87535
246.14708 182.94917 181.75264,245.1414 181.98486 182.24219,243.55963 181.52345 182.95918
284.47006 110.371574 296.6177,284.07944 111.20325 295.48706,283.8114 112.02912 294.22803
314.48984 170.28961 211.07462,314.4079 171.56305 211.71046,314.28036 172.82599 212.42056
0.0 0.0 0.0,293.37918 381.875 288.91348,292.4934 381.02676 288.67554
280.84442 158.74129 196.75851,280.72684 160.4062 196.37363,280.09366 161.95096 195.4397
269.07556 398.29062 288.2776,268.82855 396.09222 286.78708,268.06036 393.5851 285.57388
0.0 0.0 0.0,303.14264 175.21165 154.02,302.31964 176.70457 154.74237
269.9291 118.87016 223.9038,268.9767 121.01713 224.37643,268.5879 123.158 224.23734
0.0 0.0 0.0,233.55441 157.68256 116.545685,234.06784 158.01917 117.71289
253.77795 142.72725 257.0727,253.10265 142.37915 255.50558,252.2182 143.06184 254.4048
283.06046 172.86952 158.02832,283.07748 172.95822 158.14201,283.1579 173.67592 158.54063
394.906 195.63919 242.90694,393.89383 195.66414 241.68877,392.67593 195.9334 240.5461
310.35605 352.74957 137.14934,309.95316 352.57068 137.79152,309.67038 352.49945 138.41391
276.05063 339.94284 132.83705,274.82986 337.85202 133.88304,272.93607 336.10062 135.23615
280.7195 171.49359 100.12049,280.31772 171.37602 101.20902,279.41043 170.77718 102.11237
321.58 369.99857 219.8811,320.63947 370.55392 220.70741,319.93323 370.8962 221.79959
208.66455 176.2832 210.53636,206.88747 176.1818 211.2881,205.3526 175.87164 212.29028
260.0199 167.17581 86.461006,259.96494 167.59082 87.14944,259.79257 167.50468 87.78876
